,키워드,"PC
 검색량","MB
 검색량","전체
 검색량",속성,"지식인
글개수
","카페
 글개수","인플
 글개수","블로그
 글개수",1탭,2탭,3탭,4탭,5탭,6탭,7탭,8탭,9탭,10탭,접촉지점,"탭순서
갱신일",파워링크,브랜드컨텐츠,가격비교,네플스,클립,,관련문서,,,,,,,,,,인기글7,,인기글3,,스마트블록,뉴스,,웹문서,,동영상,,이미지,확인일,자리상단하단
14,허리가 너무 아파요,100,"1,550","1,650",-,3,8,3,4,파워링크,건강·의학 브랜드 콘텐츠,관련문서,건강 주제 네이버 메이트,함께 많이 찾는,관련문서,이미지,웹문서,,,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,허리협착증시술비용,30,460,490,-,1,8,1,6,파워링크,관련문서,건강 주제 네이버 메이트,함께 많이 찾는,관련문서,이미지,웹문서,,,,3,,,,,,,,,,,,,,,노출성공,,,,,,,,,,,,,,,,
16,허리통증운동,150,620,770,-,3,4,3,6,파워링크,AI 브리핑,건강 주제 네이버 메이트,네이버 클립,브랜드 콘텐츠,관련문서,인플루언서서비스 홈 바로가기,네이버 가격비교,네이버플러스 스토어,이미지,4,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,허리디스크도수치료,140,580,720,-,5,5,5,5,AI 브리핑,네이버 가격비교,네이버플러스 스토어,건강 주제 네이버 메이트,브랜드 콘텐츠,관련문서,함께 많이 찾는,관련문서,파워링크,이미지,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,허리통증한의원,120,400,520,-,2,5,2,5,파워링크,브랜드 콘텐츠,관련문서,건강 주제 네이버 메이트,뉴스,함께 많이 찾는,관련문서,이미지,웹문서, ,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,허리통증복대,20,160,180,-,0,3,0,1,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,건강 주제 네이버 메이트,인기글,웹문서,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,허리통증완화방법,40,70,110,-,2,4,2,6,AI 브리핑,건강 주제 네이버 메이트,브랜드 콘텐츠,파워링크,네이버 클립,인플루언서서비스 홈 바로가기,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,4,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,허리파스,80,450,530,-,3,3,3,8,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,관련문서,인플루언서서비스 홈 바로가기,관련문서,이미지,웹문서,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,허리통증파스,110,530,640,-,5,5,5,4,파워링크,AI 브리핑,건강 주제 네이버 메이트,관련문서,브랜드 콘텐츠,네이버 클립,네이버 가격비교,네이버플러스 스토어,이미지,뉴스,4,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,허리근육통,160,"1,540","1,700",-,2,5,2,6,브랜드 콘텐츠,인플루언서서비스 홈 바로가기,네이버 클립,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,허리보호대홈쇼핑,10,180,190,-,1,3,1,6,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,동영상,관련문서,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,허리삐끗했을때,"1,360","16,700","18,060",-,3,5,3,7,파워링크,브랜드 콘텐츠,관련문서,건강 주제 네이버 메이트,인플루언서서비스 홈 바로가기,네이버 가격비교,네이버플러스 스토어,이미지,함께 많이 찾는,관련문서,2,,,유료마킹필,,,,,,,,,,,,노출성공,,,,,,,,,,,,,,,,
26,70대아버지선물,30,170,200,-,3,8,3,6,네이버플러스 스토어,선물샵,관련문서,관련문서,파워링크,동영상,이미지,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,70대아빠생일선물,20,110,130,-,3,6,3,7,네이버플러스 스토어,선물샵,관련문서,파워링크,동영상,함께 많이 찾는,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,80대할아버지생신선물,10,40,50,-,1,11,2,6,네이버플러스 스토어,선물샵,파워링크,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,80대할아버지선물,40,390,430,-,0,6,1,1,네이버플러스 스토어,선물샵,인기글,파워링크,네이버 클립,이미지,지식iN,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,어버이날할머니선물,5,5,10,-,2,6,2,8,네이버플러스 스토어,선물샵,관련문서,관련문서,파워링크,이미지,웹문서,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,허리통증,"2,070","17,000","19,070",-,3,5,3,4,파워링크,AI 브리핑,건강 소식,함께 찾는 질병,건강·의학 브랜드 콘텐츠,네이버 클립,네이버 가격비교,네이버플러스 스토어,뉴스,함께 많이 찾는,2,,,유료마킹필,,,,,,,,,,,,노출성공,,,,,,,,,,,,,,,,
32,허리통증 병원,410,"3,420","3,830",-,1,5,1,6,파워링크,건강 주제 네이버 메이트,건강·의학 브랜드 콘텐츠,뉴스,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,허리통증 스트레칭,450,"3,270","3,720",-,2,5,2,5,파워링크,AI 브리핑,건강 주제 네이버 메이트,네이버 클립,네이버 가격비교,네이버플러스 스토어,이미지,함께 많이 찾는,관련문서,웹문서,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,오른쪽허리통증,290,"2,660","2,950",-,5,4,6,5,파워링크,건강 주제 네이버 메이트,브랜드 콘텐츠,이미지,뉴스,함께 많이 찾는,관련문서,웹문서,,,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,임산부 허리통증,300,"2,840","3,140",-,1,7,3,7,AI 브리핑,건강 주제 네이버 메이트,네이버 클립,육아·결혼 브랜드 콘텐츠,인플루언서서비스 홈 바로가기,파워링크,네이버 가격비교,네이버플러스 스토어,이미지,함께 많이 찾는,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,허리통증 주사,220,"1,680","1,900",-,2,5,2,7,파워링크,건강·의학 브랜드 콘텐츠,네이버 클립,건강 주제 네이버 메이트,함께 많이 찾는,관련문서,이미지,뉴스,웹문서,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,요추추간판탈출증,400,"1,240","1,640",-,1,3,1,6,파워링크,AI 브리핑,함께 찾는 질병,브랜드 콘텐츠,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,이미지,웹문서,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,척추압박골절,440,"2,030","2,470",-,3,4,3,7,파워링크,AI 브리핑,건강 소식,지식iN 의사 답변,함께 찾는 질병,건강·의학 브랜드 콘텐츠,인플루언서서비스 홈 바로가기,네이버 가격비교,네이버플러스 스토어,이미지,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,허리아플때병원,240,"2,050","2,290",-,2,8,2,6,파워링크,브랜드 콘텐츠,네이버 클립,함께 많이 찾는,관련문서,이미지,웹문서,,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,허리디스크원인,290,"1,970","2,260",-,3,3,3,6,파워링크,AI 브리핑,함께 찾는 질병,건강·의학 브랜드 콘텐츠,네이버 클립,함께 많이 찾는,관련문서,이미지,웹문서,,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,척추유합술,460,"1,560","2,020",-,0,2,0,5,파워링크,건강 주제 네이버 메이트,인플루언서서비스 홈 바로가기,건강·의학 브랜드 콘텐츠,이미지,함께 많이 찾는,관련문서,웹문서,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,허리디스크병원,260,"1,530","1,790",-,2,3,2,6,파워링크,건강 주제 네이버 메이트,건강·의학 브랜드 콘텐츠,이미지,함께 많이 찾는,관련문서,웹문서,,,,3,,,유료마킹필,,,,,,,,,,,,노출성공,,,,,,,,,,,,,,,,
43,허리신경성형술,270,"1,790","2,060",-,2,4,2,7,파워링크,건강·의학 브랜드 콘텐츠,건강 주제 네이버 메이트,네이버 클립,인플루언서서비스 홈 바로가기,함께 많이 찾는,관련문서,이미지,웹문서,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,오른쪽엉덩이통증,200,"1,810","2,010",-,5,5,5,5,파워링크,건강 주제 네이버 메이트,네이버 클립,브랜드 콘텐츠,이미지,함께 많이 찾는,관련문서,웹문서,,,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,허리통증 약,200,"1,410","1,610",-,2,4,3,7,파워링크,관련문서,건강 주제 네이버 메이트,인플루언서서비스 홈 바로가기,네이버 가격비교,네이버플러스 스토어,이미지,함께 많이 찾는,관련문서,웹문서,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,갑자기 허리통증,160,"1,830","1,990",-,2,5,2,4,AI 브리핑,네이버 가격비교,네이버플러스 스토어,건강 주제 네이버 메이트,파워링크,네이버 클립,이미지,함께 많이 찾는,관련문서,웹문서,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,허리통증 다리 저림,230,"1,380","1,610",-,2,5,2,5,파워링크,브랜드 콘텐츠,네이버 클립,건강 주제 네이버 메이트,이미지,함께 많이 찾는,관련문서,네이버 가격비교,네이버플러스 스토어,뉴스,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,허리통증 타이레놀,60,520,580,-,3,5,3,7,AI 브리핑,건강 주제 네이버 메이트,파워링크,네이버 클립,함께 많이 찾는,관련문서,이미지,웹문서,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,허리통증원인,190,830,"1,020",-,3,12,3,6,파워링크,AI 브리핑,건강 소식,함께 찾는 질병,관련 경험 카페글,네이버 클립,허리통증원인' 브랜드 콘텐츠,이미지,뉴스,함께 많이 찾는,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,척추신경차단술,120,700,820,-,2,4,2,6,파워링크,건강·의학 브랜드 콘텐츠,네이버 클립,건강 주제 네이버 메이트,이미지,함께 많이 찾는,관련문서,웹문서,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,하지방사통,150,660,810,-,2,5,2,6,파워링크,AI 브리핑,건강 주제 네이버 메이트,관련문서,네이버 클립,인플루언서서비스 홈 바로가기,이미지,관련문서,웹문서,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,허리근육통증,40,330,370,-,3,4,3,7,파워링크,브랜드 콘텐츠,네이버 클립,이미지,함께 많이 찾는,관련문서,웹문서,,,,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,허리디스크재활운동,70,380,450,-,3,4,3,5,파워링크,건강 주제 네이버 메이트,네이버 클립,브랜드 콘텐츠,관련문서,인플루언서서비스 홈 바로가기,네이버 가격비교,네이버플러스 스토어,이미지,함께 많이 찾는,4,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,온열패드,110,280,390,-,0,4,0,2,네이버 가격비교,네이버플러스 스토어,파워링크,함께 많이 찾는,네이버 클립,상품리뷰 인기글,웹문서,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,온열찜질,80,320,400,-,0,3,0,3,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,건강 주제 네이버 메이트,상품리뷰 인기글,웹문서,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,디스크병원,60,350,410,-,2,6,2,5,파워링크,관련문서,브랜드 콘텐츠,이미지,함께 많이 찾는,관련문서,웹문서,,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,척추관협착증치료방법,80,340,420,-,4,3,4,6,파워링크,AI 브리핑,건강 소식하단 정보 열고 닫기 버튼,진료 관련 통계하단 정보 열고 닫기 버튼,함께 찾는 질병,건강·의학 브랜드 콘텐츠,네이버 클립,함께 많이 찾는,관련문서,이미지,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,척추협착증치료,70,290,360,-,3,6,3,7,파워링크,AI 브리핑,건강 소식하단 정보 열고 닫기 버튼,진료 관련 통계하단 정보 열고 닫기 버튼,함께 찾는 질병,척추협착증 환자를 위한 운동 방법과 주의사항,척추협착증치료' 브랜드 콘텐츠,네이버 클립,이미지,뉴스,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,고주파수핵감압술,100,420,520,-,1,1,1,3,파워링크,AI 브리핑,함께 찾는 질병,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,척추관협착증수술비용,20,210,230,-,0,6,0,4,파워링크,브랜드 콘텐츠,이미지,함께 많이 찾는,관련문서,웹문서,,,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,한의원찜질팩,20,200,220,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,웹문서,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,협착증증상,80,330,410,-,2,5,2,4,파워링크,건강 주제 네이버 메이트,브랜드 콘텐츠,이미지,뉴스,함께 많이 찾는,관련문서,웹문서,,,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,척추체성형술,200,300,500,-,2,0,2,5,파워링크,AI 브리핑,건강 주제 네이버 메이트,함께 많이 찾는,관련문서,이미지,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,요추협착증,110,410,520,-,3,5,3,7,파워링크,AI 브리핑,건강 주제 네이버 메이트,브랜드 콘텐츠,이미지,함께 많이 찾는,관련문서,웹문서,,,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,허리디스크명의,70,340,410,-,2,6,2,8,브랜드 콘텐츠,관련문서,이미지,네이버 클립,함께 많이 찾는,관련문서,뉴스,웹문서,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,척추관절병원,80,300,380,-,0,3,0,1,파워링크,함께 많이 찾는,건강·의학 인기글,웹문서,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,척추재활병원,40,310,350,-,2,3,2,5,파워링크,브랜드 콘텐츠,이미지,뉴스,함께 많이 찾는,관련문서,웹문서,,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,허리디스크추나요법,60,330,390,-,5,5,5,5,파워링크,브랜드 콘텐츠,관련문서,건강 주제 네이버 메이트,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,척추관협착증명의,90,250,340,-,1,5,1,5,파워링크,건강 주제 네이버 메이트,관련문서,브랜드 콘텐츠,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,부산허리디스크,100,150,250,-,2,5,2,3,파워링크,브랜드 콘텐츠,동영상,이미지,뉴스,함께 많이 찾는,관련문서,웹문서,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,허리통증에 좋은 운동,50,250,300,-,3,5,3,6,AI 브리핑,건강 주제 네이버 메이트,네이버 클립,관련문서,파워링크,이미지,뉴스,함께 많이 찾는,관련문서,웹문서,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,고주파수핵성형술,70,150,220,-,0,2,0,4,관련문서,함께 많이 찾는,이미지,네이버 클립,웹문서,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,충전식온수찜질기,10,110,120,-,0,2,0,8,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,동영상,관련문서,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,허리디스크정형외과,40,290,330,-,2,5,2,6,AI 브리핑,건강 주제 네이버 메이트,파워링크,뉴스,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,허리디스크진단,40,260,300,-,2,5,2,6,파워링크,AI 브리핑,함께 찾는 질병,이미지,함께 많이 찾는,관련문서,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,척추신경성형술,80,430,510,-,2,3,2,4,파워링크,건강·의학 브랜드 콘텐츠,건강 주제 네이버 메이트,이미지,함께 많이 찾는,관련문서,웹문서,,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,요추관협착증,30,140,170,-,3,3,3,6,AI 브리핑,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,무중력감압치료,60,110,170,-,1,0,1,4,파워링크,AI 브리핑,건강 주제 네이버 메이트,관련문서,이미지,함께 많이 찾는,관련문서,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,디스크시술,70,260,330,-,2,5,2,7,파워링크,건강 주제 네이버 메이트,네이버 클립,건강·의학 브랜드 콘텐츠,네이버 가격비교,네이버플러스 스토어,이미지,뉴스,함께 많이 찾는,관련문서,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,척추압박골절치료,30,130,160,-,3,4,3,7,파워링크,AI 브리핑,건강 소식,함께 찾는 질병,브랜드 콘텐츠,함께 많이 찾는,관련문서,이미지,웹문서,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,서울허리디스크병원,40,290,330,-,2,4,2,4,파워링크,관련문서,브랜드 콘텐츠,동영상,뉴스,함께 많이 찾는,관련문서,이미지,웹문서,,3,,,유료마킹필,,,,,,,,,,,,노출성공,,,,,,,,,,,,,,,,
82,생리통온열찜질기,30,330,360,-,1,4,1,11,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,건강 주제 네이버 메이트,관련문서,동영상,관련문서,이미지,웹문서,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,추나요법비용,50,220,270,-,2,5,2,5,파워링크,브랜드 콘텐츠,이미지,함께 많이 찾는,관련문서,웹문서,,,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,한일의료기온열찜질기,20,120,140,-,0,0,0,10,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,관련문서,이미지,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,강남척추관절병원,30,180,210,-,2,4,2,6,파워링크,관련문서,동영상,뉴스,함께 많이 찾는,관련문서,최신 콘텐츠노출기준,이미지,웹문서,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,허리 온열 마사지기,5,20,25,-,2,4,2,9,파워링크,네이버 가격비교,네이버플러스 스토어,동영상,관련문서,관련문서,이미지,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,디스크제거술,60,180,240,-,0,2,0,3,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,척추인대재건술,60,310,370,-,2,4,2,4,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,네이버 클립,이미지,함께 많이 찾는,관련문서,웹문서,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,척추내시경수술,50,120,170,-,2,3,2,5,파워링크,브랜드 콘텐츠,이미지,뉴스,함께 많이 찾는,관련문서,웹문서,,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,원적외선온열찜질기,10,50,60,-,2,2,2,9,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,동영상,관련문서,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,허리잘보는병원,10,150,160,-,2,13,2,3,파워링크,건강 주제 네이버 메이트,관련문서,함께 많이 찾는,관련문서,이미지,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,허리 통증 위치,20,130,150,-,2,4,2,4,AI 브리핑,건강 주제 네이버 메이트,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,고관절찌릿,40,210,250,-,0,3,0,7,AI 브리핑,건강 주제 네이버 메이트,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,척추교정스트레칭,20,280,300,-,2,3,2,10,파워링크,AI 브리핑,건강 주제 네이버 메이트,관련문서,네이버 가격비교,네이버플러스 스토어,이미지,함께 많이 찾는,관련문서,취미/스포츠 상담,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,허리전기찜질기,10,30,40,-,0,5,0,10,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,동영상,관련문서,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,제스파찜질기,30,50,80,-,0,0,0,1,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,웹문서,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,무선찜질기,10,50,60,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,충전식온열찜질기,10,20,30,-,0,3,0,10,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,관련문서,이미지,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,허리협착증에좋은음식,10,110,120,-,2,4,2,9,파워링크,AI 브리핑,관련문서,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,이미지,웹문서,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,유명한척추병원,10,90,100,-,2,5,2,6,파워링크,관련문서,브랜드 콘텐츠,이미지,함께 많이 찾는,관련문서,웹문서,,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,발열복대,10,50,60,-,0,0,0,1,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,게르마늄찜질기,5,50,55,-,0,3,0,4,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,동영상,관련문서,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,온열허리복대,5,30,35,-,0,0,0,1,파워링크,네이버 가격비교,네이버플러스 스토어,웹문서,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,허리디스크한약,20,90,110,-,2,3,2,4,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,허리디스크비수술치료,20,60,80,-,2,4,2,7,파워링크,건강 주제 네이버 메이트,네이버 클립,브랜드 콘텐츠,이미지,함께 많이 찾는,관련문서,웹문서,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
